linkedin_account_name_and_company_url
Account Name,LinkedIn Company URL
Taylor Farms,https://www.linkedin.com/company/taylor-farms
Sonos,https://www.linkedin.com/company/sonos-inc-
Weebly,https://www.linkedin.com/company/weebly
NinjaTrader Group,https://www.linkedin.com/company/ninjatrader-gr
FarmWise,https://www.linkedin.com/company/taylor-farms
Rumble Entertainment,https://www.linkedin.com/company/rumbleenterta
HID,https://www.linkedin.com/company/hidglobal
Square,https://www.linkedin.com/company/joinsquare
NEC Corporation,https://www.linkedin.com/company/nec
JD.COM,https://www.linkedin.com/company/jd.com
CB4,http://www.linkedin.com/company/c-b4-ltd
Payward,http://www.linkedin.com/company/krakenfx
Gap Inc.,http://www.linkedin.com/company/gap-inc-
Agoda,http://www.linkedin.com/company/agoda
MUFG,http://www.linkedin.com/company/mufg
Toshiba,http://www.linkedin.com/company/toshiba-americ
Activision Blizzard,https://www.linkedin.com/company/activision-bliz
Franklin Resources,https://www.linkedin.com/company/franklin-templ
Inflection AI,https://www.linkedin.com/company/inflectionai
Nordstrom,https://www.linkedin.com/company/nordstrom
Pulse Secure,https://www.linkedin.com/company/pulse-secure
Reclaim.ai (acq. Dropbox),https://www.linkedin.com/company/reclaim-ai
Sorenson,https://www.linkedin.com/company/sorenson-com
Splunk,https://www.linkedin.com/company/splunk
Venmo,https://www.linkedin.com/company/venmo
6sense,https://www.linkedin.com/company/6sense
Barracuda,https://www.linkedin.com/company/barracuda-ne
Blue Origin LLC,https://www.linkedin.com/company/blue-origin
Census,https://www.linkedin.com/company/getcensus
Datavant,https://www.linkedin.com/company/datavant
Fivetran,https://www.linkedin.com/company/fivetran
Fortive,https://www.linkedin.com/company/fortive
JBS USA,https://www.linkedin.com/company/jbsusa
OneMedical,https://www.linkedin.com/company/one-medical-g
twitch.tv (acq AWS),https://www.linkedin.com/company/twitch-tv
Weyerhaeuser,https://www.linkedin.com/company/weyerhaeuse
Zoox,https://www.linkedin.com/company/zoox-inc
Robust Intelligence,https://www.linkedin.com/company/robust-intellig
Replicate,https://www.linkedin.com/company/replicate
Centific,https://www.linkedin.com/company/centificglobal
ZoomInfo,https://www.linkedin.com/company/zoominfo
GSPANN,https://www.linkedin.com/company/gspann-techn
"MAQ Software, LLC.",https://www.linkedin.com/company/maq-software
Akvelon,https://www.linkedin.com/company/akvelon
Snap Finance,https://www.linkedin.com/company/snap-finance
Nintex,https://www.linkedin.com/company/nintex
Ivanti,https://www.linkedin.com/company/ivanti
HealthEquity Inc,https://www.linkedin.com/company/healthequity
BirdEye,https://www.linkedin.com/company/birdeye
DigitalOwl,https://www.linkedin.com/company/digitalowlai
"Aetion, a Datavant Company",https://www.linkedin.com/company/aetion-inc-
Arrow Electronics,https://www.linkedin.com/company/arrow-electron
Modivcare,https://www.linkedin.com/company/modivcare
Newmont Corporation,https://www.linkedin.com/company/newmont
Whole Foods Market,https://www.linkedin.com/company/whole-foods-m
Vancity,https://www.linkedin.com/company/vancity
Intelex Technologies Inc,https://www.linkedin.com/company/intelex-techno
BOP LLC,https://www.linkedin.com/company/shopbop
MSN,https://www.linkedin.com/company/management-
Finning International Inc,https://www.linkedin.com/company/finning
WestJet,https://www.linkedin.com/company/westjet
MGM Studios,https://www.linkedin.com/company/mgm
